,JACCARD_SCORE,CONFORMITY_DIST_MEANING,COMBINATION
0,0.17509918599436833,USERS_CAND_ITEMS,SVD-KMEANS-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
1,0.18233058556144943,USERS_REC_LISTS,SVD-KMEANS-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
0,0.1750398702255311,USERS_CAND_ITEMS,SVD-AGGLOMERATIVE-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
1,0.23477062352967315,USERS_REC_LISTS,SVD-AGGLOMERATIVE-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
0,0.15953123338913208,USERS_CAND_ITEMS,SVD-FCM-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
1,0.1433041302555811,USERS_REC_LISTS,SVD-FCM-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
0,0.19089708786535947,USERS_CAND_ITEMS,SVD-BIRCH-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
1,0.2010247149090604,USERS_REC_LISTS,SVD-BIRCH-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
0,0.011662492342307594,USERS_CAND_ITEMS,SVD-OPTICS-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
1,0.012227710512168491,USERS_REC_LISTS,SVD-OPTICS-LOG-WPS-VICIS_EMANON2-NDCG-SURROGATE-C@0.5
